fragmentos_fenol,fragmentos_ar_oh,NroAnilloAromatico,NroAnilloNoAromatico,TPSA,donadores_puente_hidrogeno,aceptores_puente_hidrogeno,MolLogP,enlaces_rotables,fraccion_carbono_sp3,conteo_atomos_pesados,refractividad_molar,alfa_hall_kier,carga_parcial_maxima,carga_parcial_minima,carga_parcial_abs_maxima,carga_parcial_abs_minima,kappa_1,kappa_3,chi_0v,chi_2v,chi_4v,coeficiente_qed,num_catecoles,num_resorcinoles,num_hidroquinonas,oh_vecino_a_metoxi
2,2,1,0,49.69,2,3,1.1063999999999996,1,0.14285714285714285,10,36.323600000000006,-1.3800000000000001,0.16062927310040928,-0.5042569724309992,0.5042569724309992,0.16062927310040928,6.736009280742459,1.127136218871358,5.5347262890326565,1.8546447950168072,0.630218561489812,0.5742022454827616,1,0,0,0
2,2,1,0,57.53,2,3,0.9102999999999999,1,0.0,10,35.1591,-1.5100000000000002,0.15760785413335676,-0.5042596111081465,0.5042596111081465,0.15760785413335676,6.607785630153122,1.0748936229840518,5.112076558222283,1.8660028529204513,0.6137672170528311,0.4476083336936698,1,0,0,0
1,1,2,0,50.44,1,3,1.80702,0,0.1,13,48.885800000000025,-1.7699999999999998,0.3359621552908811,-0.5078219984064624,0.5078219984064624,0.3359621552908811,7.857386378147379,1.2840350671725167,7.073111253186189,2.9289102972849514,1.3136047947100855,0.6225239946244197,0,0,0,0
0,0,2,0,30.21,0,2,1.7929999999999997,0,0.0,11,42.484000000000016,-1.5699999999999998,0.33569031616433825,-0.4227294736611369,0.4227294736611369,0.33569031616433825,6.160248407637458,1.02612164813026,5.7805981960654815,2.2922570838438427,1.0113830342838965,0.5302216682110639,0,0,0,0
2,2,2,0,74.60000000000001,2,4,3.3527000000000022,6,0.05263157894736842,23,88.91260000000003,-3.1399999999999997,0.1629186266763904,-0.5079662507798103,0.5079662507798103,0.1629186266763904,16.234316656080026,5.629437288967087,12.346233783389703,4.959133493578486,1.8387813249850764,0.6336797897678055,0,0,0,0
2,2,2,0,93.06000000000002,2,6,3.3699000000000026,8,0.14285714285714285,27,102.01660000000003,-3.54,0.16291864446768703,-0.5042543435663183,0.5042543435663183,0.16291864446768703,19.780378892165626,5.7434025122363215,15.008029825938177,5.638641501457053,2.2636839018519117,0.5481228320623275,0,0,0,0
4,5,3,0,162.86,5,7,1.1633000000000009,1,0.0,23,79.85779999999998,-3.39,0.2382912215329,-0.507822516038892,0.507822516038892,0.2382912215329,15.988744272516957,2.468115580168575,11.439315904375647,4.648401035680914,2.1697212527655796,0.4487977548876387,0,2,0,0
4,5,3,0,162.86,5,7,1.1633000000000009,1,0.0,23,79.85779999999998,-3.3900000000000006,0.2382885816404551,-0.5076781655726544,0.5076781655726544,0.2382885816404551,15.988744272516957,2.468115580168575,11.439315904375647,4.65044255697973,2.1354616452958117,0.41983250950378587,1,1,0,0
4,4,2,1,141.88,5,6,0.7214000000000005,1,0.2,22,76.2368,-2.64,0.1573046177140986,-0.5076790312956448,0.5076790312956448,0.1573046177140986,15.743277816590178,2.5894314393199704,11.392874933477584,4.99966046599434,2.4659579388339505,0.491342007768423,1,1,0,0
0,0,2,1,26.3,0,2,3.3931000000000022,1,0.13333333333333333,17,65.20050000000003,-2.0899999999999994,0.1701515677227977,-0.48449859061862716,0.48449859061862716,0.1701515677227977,10.088920230629265,1.8217756307290371,9.297106054010532,4.140636572758042,2.1266223798191253,0.7417295882600524,0,0,0,0
2,2,1,0,40.46,2,2,1.7512000000000008,0,0.0,9,34.7816,-0.8899999999999999,0.13394252001169898,-0.5079065390168217,0.5079065390168217,0.13394252001169898,6.233304562268803,1.2659691269337427,5.260371417596475,2.04291462549886,0.6705976309599435,0.5449693137713395,0,0,1,0
2,2,1,0,40.46,2,2,2.6228000000000007,0,0.0,10,45.171600000000005,-0.22000000000000003,0.13065795262032603,-0.5067290463986786,0.5067290463986786,0.13065795262032603,7.882249488752557,1.4362332836964535,7.977049753627031,3.4637050163712266,1.1884278811213465,0.7098009115151623,0,0,1,0
2,2,1,0,57.53,2,3,1.3003999999999998,1,0.125,11,39.776100000000014,-1.51,0.16315250655066063,-0.5079372330842965,0.5079372330842965,0.16315250655066063,7.595374077976819,1.490370509139573,6.034726289032657,2.257638220533255,0.8060176885990805,0.47069942696698025,0,0,1,0
2,2,1,0,40.46,2,2,1.4062199999999998,0,0.14285714285714285,9,34.508599999999994,-1.18,0.118251236291627,-0.50795180137563,0.50795180137563,0.118251236291627,5.947877237851663,1.1340794947334671,5.126477998568794,1.9707895699827633,0.6396392780876469,0.5131220403965512,0,0,1,0
2,2,1,0,40.46,2,2,1.0977999999999999,0,0.0,8,29.771599999999992,-1.18,0.11534595127525572,-0.5079622369103997,0.5079622369103997,0.11534595127525572,4.966627565982405,0.9041418956093399,4.20382826775842,1.5163977794943224,0.4526323993409725,0.49072766890152064,0,0,1,0
1,1,1,0,20.23,2,2,1.6809000000000003,0,0.0,8,35.3588,-0.63,0.12837127194412862,-0.5067948088812524,0.5067948088812524,0.12837127194412862,5.505685210312076,0.9536294332457047,5.098255458758335,1.9705200223821775,0.6247649925057467,0.5066397153679566,0,0,0,0
1,1,1,0,20.23,2,2,1.6809000000000003,0,0.0,8,35.3588,-0.63,0.11515448876127715,-0.5079656107473429,0.5079656107473429,0.11515448876127715,5.505685210312076,1.1680407053096413,5.098255458758335,2.032795558988645,0.6017035978409586,0.5066397153679566,0,0,0,0
